"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL2348960";"";"None";"372.38";"0";"4.96";"26";"FC(F)(F)c1ccc(Sc2ccc3nnc(-c4ccccc4)n3n2)cc1";"IC50";"'='";"5897.0";"nM";"5.23";"";"";"UO_0000065";"14.04";"0.27";"0.27";"12.14";"0";"CHEMBL2351467";"Inhibition of wild type LRRK2 (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348942";"";"None";"377.42";"1";"5.63";"7";"FC(F)(F)c1cccc(Sc2cn3c(-c4cccs4)cnc3cn2)c1";"IC50";"'='";"3400.0";"nM";"5.47";"";"";"UO_0000065";"14.49";"0.30";"-0.16";"18.11";"0";"CHEMBL2351467";"Inhibition of wild type LRRK2 (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL3326139";"";"None";"350.38";"0";"2.13";"27";"COc1ccc(OC)c(Cc2ccc3nnc(-c4cnn(C)c4)n3n2)c1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL3367451";"Inhibition of phosphorylation at S935 residue of wild-type full-length LRRK2 kinase (unknown origin) expressed in HEK 293 cells after 90 mins by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";""
"CHEMBL3326134";"";"None";"377.26";"0";"3.98";"21";"Cn1cc(-c2nnc3ccc(Sc4cc(Cl)ccc4Cl)nn23)cn1";"IC50";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"15.23";"0.33";"1.76";"9.43";"0";"CHEMBL3367451";"Inhibition of phosphorylation at S935 residue of wild-type full-length LRRK2 kinase (unknown origin) expressed in HEK 293 cells after 90 mins by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";""
"CHEMBL3326130";"";"None";"334.40";"0";"3.95";"17";"COc1ccccc1Sc1ccc2nnc(-c3ccccc3)n2n1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL3367451";"Inhibition of phosphorylation at S935 residue of wild-type full-length LRRK2 kinase (unknown origin) expressed in HEK 293 cells after 90 mins by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";""
"CHEMBL3326145";"";"None";"382.45";"0";"3.00";"33";"COc1ccc(OC)c(Sc2cc(C)c3nnc(-c4cnn(C)c4)n3n2)c1";"IC50";"'='";"32000.0";"nM";"4.50";"";"";"UO_0000065";"11.75";"0.23";"1.49";"5.66";"0";"CHEMBL3367450";"Inhibition of GST-tagged truncated LRRK2 (unknown origin) using fluorescein-labeled peptide LRRKtide as substrate by LANTHA screen assay in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";""
"CHEMBL3326140";"";"None";"366.38";"0";"1.62";"28";"COc1ccc(OC)c(C(O)c2ccc3nnc(-c4cnn(C)c4)n3n2)c1";"IC50";"'='";"9124.0";"nM";"5.04";"";"";"UO_0000065";"13.76";"0.25";"3.42";"5.06";"0";"CHEMBL3367450";"Inhibition of GST-tagged truncated LRRK2 (unknown origin) using fluorescein-labeled peptide LRRKtide as substrate by LANTHA screen assay in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";""
"CHEMBL3326135";"";"None";"380.48";"0";"3.81";"22";"COc1ccc(C(C)C)cc1Sc1ccc2nnc(-c3cnn(C)c3)n2n1";"IC50";"'='";"1350.0";"nM";"5.87";"";"";"UO_0000065";"15.43";"0.30";"2.06";"8.37";"0";"CHEMBL3367450";"Inhibition of GST-tagged truncated LRRK2 (unknown origin) using fluorescein-labeled peptide LRRKtide as substrate by LANTHA screen assay in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";""
"CHEMBL3326128";"";"None";"368.42";"0";"2.69";"15";"COc1ccc(OC)c(Sc2ccc3nnc(-c4cnn(C)c4)n3n2)c1";"IC50";"'='";"64.0";"nM";"7.19";"";"";"UO_0000065";"19.53";"0.38";"4.50";"9.06";"0";"CHEMBL3367450";"Inhibition of GST-tagged truncated LRRK2 (unknown origin) using fluorescein-labeled peptide LRRKtide as substrate by LANTHA screen assay in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";""
"CHEMBL3326118";"";"None";"366.41";"0";"2.75";"5";"COc1ccc(OC)c(Sc2ccc3nnc(-c4cnccn4)n3n2)c1";"IC50";"'='";"880.0";"nM";"6.06";"";"";"UO_0000065";"16.53";"0.32";"3.31";"6.93";"0";"CHEMBL3367450";"Inhibition of GST-tagged truncated LRRK2 (unknown origin) using fluorescein-labeled peptide LRRKtide as substrate by LANTHA screen assay in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";""
"CHEMBL3326117";"";"None";"365.42";"0";"3.35";"4";"COc1ccc(OC)c(Sc2ccc3nnc(-c4ccncc4)n3n2)c1";"IC50";"'='";"349.0";"nM";"6.46";"";"";"UO_0000065";"17.67";"0.34";"3.11";"8.68";"0";"CHEMBL3367450";"Inhibition of GST-tagged truncated LRRK2 (unknown origin) using fluorescein-labeled peptide LRRKtide as substrate by LANTHA screen assay in presence of 1 mM ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";""
"CHEMBL3326149";"";"None";"368.42";"0";"2.72";"37";"COc1ccc(OC)c(Sc2ccc3nnn(-c4cnn(C)c4)c3n2)c1";"IC50";"'='";"5240.0";"nM";"5.28";"";"";"UO_0000065";"14.33";"0.28";"2.56";"6.61";"0";"CHEMBL3367451";"Inhibition of phosphorylation at S935 residue of wild-type full-length LRRK2 kinase (unknown origin) expressed in HEK 293 cells after 90 mins by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";""
"CHEMBL3326153";"";"None";"381.46";"0";"3.61";"41";"COc1ccc(OC)c(Sc2ccn3nc(C)c(-c4cnn(C)c4)c3n2)c1";"IC50";"'='";"759.0";"nM";"6.12";"";"";"UO_0000065";"16.04";"0.31";"2.51";"9.21";"0";"CHEMBL3367451";"Inhibition of phosphorylation at S935 residue of wild-type full-length LRRK2 kinase (unknown origin) expressed in HEK 293 cells after 90 mins by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";""
"CHEMBL2347817";"";"None";"391.50";"0";"4.39";"31";"C[C@@H](Nc1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12)C1CC1";"IC50";"'='";"39.0";"nM";"7.41";"";"";"UO_0000065";"18.92";"0.36";"3.02";"8.94";"0";"CHEMBL2352557";"Inhibition of GST-tagged LRRK2 G2019S mutant (970-2527 amino acids) (unknown origin) assessed as inhibition of LRRKtide phosphorylation by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2347804";"";"None";"420.54";"0";"4.38";"18";"CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N4CCCC4)cc3)ccc12";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"18.36";"0.35";"3.34";"8.97";"0";"CHEMBL2352557";"Inhibition of GST-tagged LRRK2 G2019S mutant (970-2527 amino acids) (unknown origin) assessed as inhibition of LRRKtide phosphorylation by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2347821";"";"None";"408.53";"0";"3.48";"4";"CC(C)Nc1c(C2=NCCN2)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12";"IC50";"'='";"88597.0";"nM";"4.05";"";"";"UO_0000065";"9.92";"0.19";"0.57";"4.86";"0";"CHEMBL2352557";"Inhibition of GST-tagged LRRK2 G2019S mutant (970-2527 amino acids) (unknown origin) assessed as inhibition of LRRKtide phosphorylation by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2347813";"";"None";"406.51";"0";"2.93";"27";"CN1CCN(c2c(C#N)cnc3cc(-c4ccc(S(C)(=O)=O)cc4)ccc23)CC1";"IC50";"'='";"281.0";"nM";"6.55";"";"";"UO_0000065";"16.12";"0.31";"3.62";"8.48";"0";"CHEMBL2352558";"Inhibition of wild type GST-tagged LRRK2 (970-2527 amino acids)(unknown origin) assessed as inhibition of LRRKtide phosphorylation by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2347812";"";"None";"391.50";"0";"4.17";"26";"CS(=O)(=O)c1ccc(-c2ccc3c(N4CCCCC4)c(C#N)cnc3c2)cc1";"IC50";"'='";"52.0";"nM";"7.28";"";"";"UO_0000065";"18.61";"0.36";"3.11";"9.84";"0";"CHEMBL2352558";"Inhibition of wild type GST-tagged LRRK2 (970-2527 amino acids)(unknown origin) assessed as inhibition of LRRKtide phosphorylation by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2347823";"";"None";"365.46";"0";"4.00";"6";"CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12";"IC50";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"20.55";"0.39";"3.51";"9.06";"0";"CHEMBL2352558";"Inhibition of wild type GST-tagged LRRK2 (970-2527 amino acids)(unknown origin) assessed as inhibition of LRRKtide phosphorylation by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2347819";"";"None";"382.49";"0";"4.33";"2";"CC(=O)c1cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C";"IC50";"'='";"66.0";"nM";"7.18";"";"";"UO_0000065";"18.77";"0.36";"2.85";"9.43";"0";"CHEMBL2352558";"Inhibition of wild type GST-tagged LRRK2 (970-2527 amino acids)(unknown origin) assessed as inhibition of LRRKtide phosphorylation by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2349090";"";"None";"379.35";"0";"4.47";"53";"N#CC(c1cccc(C(F)(F)F)c1)c1ccc2nnc(-c3ccccc3)n2n1";"IC50";"'='";"26000.0";"nM";"4.58";"";"";"UO_0000065";"12.09";"0.22";"0.12";"6.86";"0";"CHEMBL2351467";"Inhibition of wild type LRRK2 (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348967";"";"None";"395.39";"0";"4.30";"33";"FC(F)(F)Oc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1";"IC50";"'='";"281.0";"nM";"6.55";"";"";"UO_0000065";"16.57";"0.34";"2.25";"10.05";"0";"CHEMBL2351467";"Inhibition of wild type LRRK2 (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348964";"";"None";"329.38";"0";"3.54";"30";"Fc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1";"IC50";"'='";"169.0";"nM";"6.77";"";"";"UO_0000065";"20.56";"0.42";"3.23";"12.10";"0";"CHEMBL2351467";"Inhibition of wild type LRRK2 (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348946";"";"None";"379.39";"0";"4.42";"11";"FC(F)(F)c1cccc(Sc2ccc3nnc(-c4nccs4)n3n2)c1";"IC50";"'='";"88.0";"nM";"7.06";"";"";"UO_0000065";"18.60";"0.39";"2.64";"12.61";"0";"CHEMBL2351467";"Inhibition of wild type LRRK2 (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL4567108";"";"None";"225.25";"0";"2.40";"5";"Cc1n[nH]c2ccnc(Nc3cccnc3)c12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4331900";"Inhibition of recombinant human GST-tagged LRRK2 G2019S mutant catalytic domain (970 to 2527 residues) expressed in baculovirus expression system by radiometric assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4330096";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";"";"";""
"CHEMBL4098877";"MLi-2";"None";"379.46";"0";"3.56";"1; MLi-2";"C[C@@H]1CN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)C[C@H](C)O1";"IC50";"'='";"0.76";"nM";"9.12";"";"";"UO_0000065";"24.03";"0.44";"5.56";"11.97";"0";"CHEMBL4010109";"Inhibition of recombinant human GST-tagged LRRK2 (970 to 2527 residues) G2019S mutant expressed in baculovirus using fluorescein-ERM as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007454";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";""
